index,資料庫植物名稱,工程會原植物名稱,分類,匹配方式,參考規格,計價型態,計價單位,材料單價_元,標準差_元,地區別,工程會工項編碼,價格來源,統計期間,來源頁碼,備註
0,台北草,台北草,草皮,完全相符,,植草材料,M2,152,69,全區,M0292000022,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第2頁,僅材料費；依原表說明未含人力、機具等費用。
1,地毯草,地毯草,草皮,完全相符,,植草材料,M2,105,20,全區,M0292000052,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第2頁,僅材料費；依原表說明未含人力、機具等費用。
2,腎蕨,腎蕨,地被／草本,完全相符,30≦高度＜40cm。20≦寬 度＜30cm,,株,128,4,全區,M0292212330,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
3,台灣百合,台灣百合,地被／草本,完全相符,10cm≦容器直徑 <13cm,,株,35,1,全區,M029228A002,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
4,麥門冬,麥門冬,地被／草本,完全相符,容器直徑＜10cm盆苗,,株,31,1,全區,M029228E001,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
5,沿街草,沿階草,地被／草本,名稱校正候選,容器直徑＜10cm盆苗,,株,30,1,全區,M029228G001,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
6,射干,射干,地被／草本,完全相符,20≦高度＜30cm。20≦寬 度＜30cm,,株,129,4,全區,M02922D3230,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
7,石斑木,厚葉石斑木,灌木,別名／品種候選,10cm≦容器直徑 <13cm,,株,149,5,全區,M029322G002,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
8,鵝掌藤,鵝掌藤,灌木,完全相符,10cm≦容器直徑<13cm,,株,60,1,全區,M029325F002,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
9,鵝掌藤,鵝掌藤,灌木,完全相符,高度＜30㎝。寬度＜ 20cm,,株,70,0,全區,M029325F110,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第3頁,僅材料費；依原表說明未含人力、機具等費用。
