植物名稱,分類,參考規格,計價單位,採用材料單價_元,價格來源,備註
金葉金露花,灌木/密植,10–13cm盆苗參考,株,33,112工程會,以「黃金露華」10cm≦容器直徑<13cm硬對應
熊貓仙丹,灌木/密植,3吋盆,株,40,台灣市場,心栽花坊/台灣市場公開價
楊梅,喬木,米徑約15cm,株,8000,市場暫參考,缺精準15cm同規格公開價；此值僅供簡報展示，正式估價前需人工覆核
長紅木,灌木/密植,3.5吋盆；高20–30cm,株,35,田尾玫瑰園,直接市場價
五葉松,喬木,約H3m（公開價最接近大型景觀規格）,株,10000,田尾玫瑰園,未找到米徑15cm同規格公開價；先用H3m景觀株參考，正式估價需覆核
南天竹,灌木/密植,一般植栽工項,株,245,110工程會,112未見同項，依優先規則採110工程會
茄苳,喬木,H450–500cm；W260–280cm；米高直徑14–16cm,株,6558,112工程會,與約15cm規格相符
青楓,喬木,米徑15cm；H約5–7m,株,12000,台灣市場,公開市場同規格15cm售價
羅漢松,灌木/密植,蘭嶼羅漢松2.5吋；高20–30cm,株,25,田尾玫瑰園,作密植小苗參考
觀音棕竹,灌木/密植,細葉觀音棕竹3吋,株,70,台灣市場,公開市場價
白鶴芋,地被/密植,3吋盆,株,40,台灣市場,3吋小苗市場價
蜘蛛百合,地被/密植,3吋盆,株,40,台灣市場,3吋盆市場價；田尾另有H約30cm 50元
梔子花,灌木/密植,3吋盆,株,50,台灣市場,玉堂春/梔子花3吋市場價
