植物名稱,分類,參考規格,計價單位,材料單價_元,標準差_元,地區別,工程會工項編碼,價格來源,備註
樟樹,喬木,樹高450≦H<500cm；樹幅260≦W<280cm；14≦米高直徑<16cm,株,6558,315,全區,M029383EEJ7,112年度公共工程植栽材料價格參考表,目前資料庫有；採14~15cm級距
楓香,喬木,樹高450≦H<500cm；樹幅260≦W<280cm；14≦米高直徑<16cm,株,5246,252,全區,M029386JEJ7,112年度公共工程植栽材料價格參考表,目前資料庫有；採14~15cm級距
朴樹,喬木,樹高450≦H<500cm；樹幅260≦W<280cm；14≦米高直徑<16cm,株,7869,378,全區,M0293883EJ7,112年度公共工程植栽材料價格參考表,目前資料庫有；採14~15cm級距
櫸木,喬木,樹高450≦H<500cm；樹幅260≦W<280cm；14≦米高直徑<16cm,株,5246,252,全區,M0293886EJ7,112年度公共工程植栽材料價格參考表,目前資料庫有；採14~15cm級距
茄苳,喬木,樹高450≦H<500cm；樹幅260≦W<280cm；14≦米高直徑<16cm,株,6558,315,全區,M02938BCEJ7,112年度公共工程植栽材料價格參考表,目前資料庫有；採14~15cm級距
六月雪,灌木,寬度<20cm,株,36,1,全區,M02932N2010,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
馬纓丹,灌木,高度<30cm；寬度<20cm,株,9,0,全區,M02932Q8110,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
撒金變葉木,灌木,13cm≦容器直徑<16cm,株,155,4,全區,M02932A9003,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
錫蘭葉下珠,灌木,高度<30cm,株,111,3,全區,M02932AW100,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
鵝掌藤,灌木,10cm≦容器直徑<13cm,株,60,1,全區,M029325F002,112年度公共工程植栽材料價格參考表,目前資料庫有；同植物另有高度/寬度規格
鵝掌藤,灌木,高度<30cm；寬度<20cm,株,70,0,全區,M029325F110,112年度公共工程植栽材料價格參考表,目前資料庫有；同植物另一規格
樹蘭,灌木,13cm≦容器直徑<16cm,株,203,5,全區,M02932J4003,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
矮仙丹,灌木,高度<30cm；寬度<20cm,株,33,8,全區,M02932N7110,112年度公共工程植栽材料價格參考表,目前資料庫有；植栽材料價
