index,植物名稱,分類,參考規格,計價單位,材料單價_元,標準差_元,地區別,工程會工項編碼,價格來源,來源網址,查價日期,備註
0,厚葉石斑木,灌木,2.5吋盆；高約30cm,株,30,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=5A82E674-9A88-FC49-BD5E-039BF5CF26C2,2026-08-18,資料庫植物「石斑木」之網站商品名稱為「厚葉石斑木」；建議以別名/近似名稱對應，但保留原商品名稱。
1,流蘇,喬木,移植袋；高4–5尺,株,400,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=90EB2A3F-B1BE-AF4D-92A8-C480280123B8,2026-08-18,小規格苗木市場價；不得直接拿來代表14–15cm米徑工程規格。
2,流蘇,喬木,米徑約3cm,株,3000,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/productlist.asp?Page=3&mode=&pid=81E14249-4F4B-4231-9FAF-A15C2B5C8C93&pricemode=createdate,2026-08-18,同植物不同規格，估價時必須依規格選價。
3,白水木,喬木,2.5吋盆；高20–30cm,株,30,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=8808D8D1-A3A2-E34B-A146-9D2F687A1407,2026-08-18,屬小苗規格。
4,白水木,喬木,高約1m,株,1200,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=2A569C1D-2D82-5D42-AAB3-F4BF16A81388,2026-08-18,景觀用較大規格；估價時依圖面規格選價。
5,紅花玉芙蓉,灌木,3吋盆,株,45,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=892DFD59-5A49-E94C-B168-BCFFE2753DC8,2026-08-18,可直接作為灌木單株市場參考價。
6,七里香,灌木,2.5吋盆；高20–30cm,株,20,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=9B81E52B-803B-DE48-9D3E-C4184AA54540,2026-08-18,網站同頁亦列3.5吋30元/株。
7,七里香,灌木,3.5吋盆,株,30,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=9B81E52B-803B-DE48-9D3E-C4184AA54540,2026-08-18,同植物不同盆徑。
8,七里香,灌木,5吋盆；高約40cm,株,100,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=9B81E52B-803B-DE48-9D3E-C4184AA54540,2026-08-18,較大盆規格。
9,福建茶,灌木,球型約30×30cm,株,300,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=C862EEC6-2155-D741-AFB5-CE931FE39418,2026-08-18,球型整形苗；規格與一般小苗不同。
10,蔓花生,草本,3吋盆,株,12,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=9482E52A-12BE-634B-930E-0A01579875A3,2026-08-18,若DXF以HATCH面積計量，可搭配種植間距/密度換算株數後計價。
11,越橘葉蔓榕,草本,3吋盆,株,20,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=19E543E3-7BA5-6C43-9C95-14B6F387E001,2026-08-18,網站商品名為越橘蔓榕；資料庫名稱為越橘葉蔓榕，建議建立別名對應。
12,九芎,喬木,移植袋；米徑約5cm,株,2500,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=4B525D6D-93AB-7E48-AD90-6A7EDB68BAD2,2026-08-18,小於工程會常用14–15cm級距，不可跨規格直接套價。
13,九芎,喬木,移植袋；米徑約15cm,株,30000,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=6B740596-C530-C24E-A119-228DB772DC9F,2026-08-18,與14–15cm級距較接近，可作市場參考價，但仍非公共工程官方價格。
14,女貞,灌木,日本女貞／厚葉女貞；3吋盆；高20–30cm,株,25,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=27E67A15-21B8-B246-886B-210D349C7EE8,2026-08-18,若資料庫植物為一般「女貞」，請不要自動視為完全同種；建議以別名/品種候選方式對應。
15,桂花,灌木,四季桂；高約150cm,株,600,,,,田尾玫瑰園／市場參考價,https://www.twr.com.tw/product_one.asp?guid=E1B75868-89A4-0D44-92F1-E86709DF4822,2026-08-18,四季桂屬桂花栽培品種；只能作桂花市場參考候選，介面需保留品種/規格。
