分類,植物名稱,採用單價_元,單位,參考規格,價格來源,狀態,備註,來源網址
喬木,土肉桂,5000,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
灌木,小葉桑,210,株,苗木參考,市場近似,暫估,以桑椹苗公開價格作近似，正式估價前覆核（小葉桑實為大灌木，非喬木）,https://shop.knownyou.com/categories/%E6%9E%9C%E6%A8%B9%E8%8B%97
喬木,台灣欒樹,4225,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,玉蘭花,200,株,小苗/盆苗參考,市場參考,暫估,玉蘭類公開苗價簡報暫用,https://www.twr.com.tw/
喬木,白玉蘭,6285,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,竹柏,2051,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,辛夷,200,株,3.5吋，高約30cm,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/product_one.asp?guid=BDA32C29-2B7C-F145-A7F7-7C1F4A9223BE
喬木,臥柏,150,株,6吋級盆苗參考,市場暫估,暫估,柏類小苗暫估,
喬木,南洋含笑,300,株,盆苗參考,市場暫估,暫估,簡報暫用,
喬木,南洋櫻,4670,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,厚皮香,60,株,約3.5吋、高30cm級參考,市場近似,暫估,以田尾假厚皮香同級苗木作暫估,https://shopee.tw/q99a99z99
喬木,柚子樹,250,株,果樹苗參考,市場暫估,暫估,果樹苗市場級距,
喬木,洋玉蘭,200,株,6吋、約2尺,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/productlist.asp?Page=3&mode=&pid=0A0CB705-A7EC-4C5B-B53C-0AB3E87F1433&pricemode=high
喬木,洋紅風鈴木,500,株,8吋美植袋/景觀苗參考,田尾市場價,市場參考,公開市場景觀苗價,https://shopee.tw/list/%E9%A2%A8%E9%88%B4%E6%9C%A8
喬木,重瓣紅石榴,200,株,盆苗參考,市場暫估,暫估,簡報暫用,
喬木,烏桕,3269,株,工程會『烏臼』工項,110工程會,正式參考,名稱依常用別名對應,https://www.pcc.gov.tw/
喬木,魚木,1990,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
